,T_K,dTdt_K_min,mM_kg,mP_kg,mM_added_kg,conversion_proxy,solids_fraction,viscosity_proxy,U_kW_m2_K,reaction_rate_kg_s,Q_feed_kW,Q_reaction_kW,Q_jacket_kW,Q_loss_kW,valve_actual_pct,feed_rate_kg_s
T_K,1.0,-0.7933149754926997,0.16334994408337555,0.39849885864729323,0.40043338248156063,-0.11892461824282974,0.4486615016442302,0.18173459684050638,-0.36059645895989206,0.17107628680879627,-0.16852513206874514,0.1710762868087987,-0.7107608366475417,-0.7092128401909591,-0.18667174098322314,0.1709077096836093
dTdt_K_min,-0.7933149754926997,1.0,-0.17304960196842054,-0.3941857689606401,-0.3961574808924873,0.13201566104709142,-0.4454527990392785,-0.17891964795348303,0.3572525041640167,-0.17947591984641134,0.17714809917190252,-0.17947591984641872,0.9408493887100113,0.5681783658228656,0.2088626594125319,-0.1794041003271536
mM_kg,0.16334994408337555,-0.17304960196842054,1.0,-0.5496702131306631,-0.5461273351213414,-0.8586870453420256,-0.4544184124435776,-0.4858218488476091,0.49833961312861547,0.969463931749918,-0.957440683423635,0.969463931749942,-0.4614251150577577,-0.12169823881873212,-0.14587289404555576,0.9702003175434423
mP_kg,0.39849885864729323,-0.3941857689606401,-0.5496702131306631,1.0,0.9999910314169996,0.6614008068027253,0.9894028344345241,0.6194482677746345,-0.961235025369818,-0.4799499831812481,0.48116579938364457,-0.4799499831812621,-0.17020758736173663,-0.2806104359592862,-0.04422673291426343,-0.4891504088529372
mM_added_kg,0.40043338248156063,-0.3961574808924873,-0.5461273351213414,0.9999910314169996,1.0,0.65888540816382,0.9898473626214497,0.6187069971582033,-0.9613788743968188,-0.47636791814484847,0.47764808282174004,-0.476367918144853,-0.1730193645665375,-0.28200535928187204,-0.045089102594293926,-0.4855901845184508
conversion_proxy,-0.11892461824282974,0.13201566104709142,-0.8586870453420256,0.6614008068027253,0.65888540816382,1.0,0.6159425279248956,0.4569191425314708,-0.6510307600137362,-0.7412045001759201,0.7365332444717712,-0.7412045001759463,0.35274960156517543,0.08877532159147038,0.09769563943531887,-0.7478846648135848
solids_fraction,0.4486615016442302,-0.4454527990392785,-0.4544184124435776,0.9894028344345241,0.9898473626214497,0.6159425279248956,1.0,0.5812926055895459,-0.954527540793004,-0.37200405205919373,0.3754634783905253,-0.37200405205918446,-0.24815224182566384,-0.3171294954576741,-0.06812738159093801,-0.3821540391077288
viscosity_proxy,0.18173459684050638,-0.17891964795348303,-0.4858218488476091,0.6194482677746345,0.6187069971582033,0.4569191425314708,0.5812926055895459,1.0,-0.5838177129169582,-0.46964535784764333,0.466524030357923,-0.4696453578476473,0.005371506708065381,-0.13700458625669423,0.014969394052160778,-0.47424643125406046
U_kW_m2_K,-0.36059645895989206,0.3572525041640167,0.49833961312861547,-0.961235025369818,-0.9613788743968188,-0.6510307600137362,-0.954527540793004,-0.5838177129169582,1.0,0.4155157530380465,-0.41358271042262307,0.4155157530380628,0.16010424394842346,0.26216046957638317,0.04808896657975016,0.423617873066646
reaction_rate_kg_s,0.17107628680879627,-0.17947591984641134,0.969463931749918,-0.4799499831812481,-0.47636791814484847,-0.7412045001759201,-0.37200405205919373,-0.46964535784764333,0.4155157530380465,1.0,-0.9856277021291551,1.0000000000000089,-0.4768356872430168,-0.12641187870354723,-0.15856890125195178,0.9987101262035742
Q_feed_kW,-0.16852513206874514,0.17714809917190252,-0.957440683423635,0.48116579938364457,0.47764808282174004,0.7365332444717712,0.3754634783905253,0.466524030357923,-0.41358271042262307,-0.9856277021291551,1.0,-0.9856277021291376,0.4660970715212452,0.19992898131106682,0.14758296700687243,-0.9868489359675943
Q_reaction_kW,0.1710762868087987,-0.17947591984641872,0.969463931749942,-0.4799499831812621,-0.476367918144853,-0.7412045001759463,-0.37200405205918446,-0.4696453578476473,0.4155157530380628,1.0000000000000089,-0.9856277021291376,1.0,-0.4768356872430286,-0.12641187870355006,-0.15856890125195872,0.998710126203551
Q_jacket_kW,-0.7107608366475417,0.9408493887100113,-0.4614251150577577,-0.17020758736173663,-0.1730193645665375,0.35274960156517543,-0.24815224182566384,0.005371506708065381,0.16010424394842346,-0.4768356872430168,0.4660970715212452,-0.4768356872430286,1.0,0.49066140892201043,0.23682963357736989,-0.4762958890366891
Q_loss_kW,-0.7092128401909591,0.5681783658228656,-0.12169823881873212,-0.2806104359592862,-0.28200535928187204,0.08877532159147038,-0.3171294954576741,-0.13700458625669423,0.26216046957638317,-0.12641187870354723,0.19992898131106682,-0.12641187870355006,0.49066140892201043,1.0,0.10301843686403311,-0.12631339242316977
valve_actual_pct,-0.18667174098322314,0.2088626594125319,-0.14587289404555576,-0.04422673291426343,-0.045089102594293926,0.09769563943531887,-0.06812738159093801,0.014969394052160778,0.04808896657975016,-0.15856890125195178,0.14758296700687243,-0.15856890125195872,0.23682963357736989,0.10301843686403311,1.0,-0.15538849521515688
feed_rate_kg_s,0.1709077096836093,-0.1794041003271536,0.9702003175434423,-0.4891504088529372,-0.4855901845184508,-0.7478846648135848,-0.3821540391077288,-0.47424643125406046,0.423617873066646,0.9987101262035742,-0.9868489359675943,0.998710126203551,-0.4762958890366891,-0.12631339242316977,-0.15538849521515688,1.0
